tag,frequency,percentage
recommender systems,711,0.33130944115413113
psychology,700,0.326183697338807
neural networks,698,0.32525174391783895
astronomy,681,0.31733013983961084
brazil,680,0.3168641631291268
linguistics,665,0.30987451247186665
lending,656,0.30568072207751057
military,655,0.3052147453670266
employment,647,0.3014869316831545
text classification,642,0.2991570481307344
image segmentation,619,0.28843958378960216
drugs and medications,601,0.28005200300089
primary and secondary schools,591,0.2753922358960499
marketing,581,0.2707324687912098
tensorflow,568,0.2646747715549177
geology,541,0.2520934003718494
mobile and wireless,530,0.2469676565565253
oil and gas,524,0.24417179629362123
nutrition,521,0.24277386616216923
transfer learning,451,0.2101554964282885
websites,448,0.2087575662968365
synthetic,448,0.2087575662968365
neuroscience,438,0.2040977991919964
health and fitness,436,0.20316584577102836
pytorch,432,0.20130193892909232
lstm,428,0.1994380320871563
popular culture,421,0.19617619511376824
engineering,420,0.1957102184032842
multimodal,417,0.19431228827183217
pollution,416,0.19384631156134816
physics,414,0.19291435814038016
matplotlib,413,0.19244838142989615
numpy,399,0.18592470748311998
baseball,386,0.17986701024682786
manufacturing,386,0.17986701024682786
hospitals and treatment centers,373,0.17380931301053573
chemistry,368,0.17147942945811567
text generation,368,0.17147942945811567
bigquery,364,0.16961552261617965
graph,364,0.16961552261617965
africa,356,0.16588770893230756
comics and animation,355,0.16542173222182355
biotechnology,355,0.16542173222182355
random forest,354,0.16495575551133954
plants,353,0.16448977880085552
income,349,0.16262587195891948
sklearn,349,0.16262587195891948
culture and humanities,343,0.15983001169601543
cyber security,341,0.1588980582750474
aviation,338,0.15750012814359537
survey analysis,331,0.15423829117020732
decision tree,322,0.15004450077585121
transformers,321,0.1495785240653672
genetics,316,0.14724864051294717
logistic regression,316,0.14724864051294717
sql,305,0.14212289669762304
north america,303,0.14119094327665502
board games,302,0.140724966566171
natural disasters,292,0.13606519946133094
celebrities,285,0.13280336248794286
keras,284,0.13233738577745885
forestry,282,0.13140543235649083
gambling,277,0.12907554880407077
gender,277,0.12907554880407077
multilabel classification,273,0.12721164196213472
russia,272,0.12674566525165074
gan,270,0.1258137118306827
holidays and cultural events,269,0.1253477351201987
feature extraction,268,0.12488175840971469
auto racing,264,0.12301785156777864
signal processing,263,0.12255187485729463
json,261,0.1216199214363266
r,257,0.11975601459439057
yolo,257,0.11975601459439057
Two Sigma x Kaggle Finance Data Repo,256,0.11929003788390656
simulations,254,0.11835808446293854
